,head,qa,rel,ans
1538,m.03ryn,what is the language used in indonesia,['location.country.languages_spoken'],m.01qzl2|m.0201jz|m.020257|m.02bv9|m.02h40lc|m.02hwx1l|m.075yc64|m.097kp|m.0f9fsf|m.0y1mh|m.097kp
1539,m.03yzb,what was irving langmuir famous for,['people.person.profession'],m.06q2q
1540,m.0d05w3,what is the official language of china called,['location.country.official_language'],m.0653m
1541,m.051cc,what was the name of martin luther king jr parents,['people.person.parents'],m.04_wtm|m.04z9mm
1542,m.0345_,what money does guatemala use,['location.country.currency_used'],m.01crby
1543,m.05jd_,who was president when nelson rockefeller was vice president,['government.us_vice_president.to_president'],m.0c_md_
1544,m.06mkj,what kind of government does spain have now,['location.country.form_of_government'],m.018wl5|m.01fpfn|m.01q20|m.04szc
1545,m.025ybxs,who plays young john winchester in supernatural,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.0cz5jr
1546,m.01wj18h,where is shakira from originally,['people.person.place_of_birth'],m.02b84b
1547,m.052bw,what region is manchester england,['location.capital_of_administrative_division.capital_of|location.administrative_division_capital_relationship.administrative_division'],m.0jt34wk
1548,m.01jnm,where was the gettysburg war located,['time.event.locations'],m.05tbn|m.0dzs0|m.0frlr
1549,m.0k3p,what do people go to amsterdam for,['travel.travel_destination.tourist_attractions'],m.01l09n|m.027x7w2|m.02k1t8|m.02qb667|m.02s5hd|m.04q1_nn|m.05_9vk|m.052sj2j|m.052sj30|m.052sj3l|m.06_fvr|m.06jsf|m.06s5rp|m.06w7d4n|m.0730kf|m.080q85l|m.0c27s0|m.0ctd_z|m.0d222g|m.0dgsr2n|m.0j2hz0_|m.0j2jlz0|m.0p8jv
1550,m.01n7q,who is the elected governor of california,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.017pf5
1551,m.01p1v,what language chile speak,['location.country.languages_spoken'],m.01y5tq|m.01zn1j|m.0565hv|m.06nm1|m.09_sxt|m.06nm1
1552,m.01znc_,what currency to take to side turkey,['location.country.currency_used'],m.04dq0w
1553,m.0nfwpdn,who founded the new democratic party,['government.political_party.politicians_in_this_party|government.political_party_tenure.politician'],m.013yvd
1554,m.0frmb1,what team did john madden play football for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.05tg3|m.06ztt6z|m.0fbq2n
1555,m.01_rph,what does julian clary do,['people.person.profession'],m.015cjr|m.018gz8|m.02hrh1q|m.02xhgwq|m.0dxtg
1556,m.0g52g,where does the potomac river flow into,['geography.river.mouth'],m.0g66h
1557,m.015nrn,where is the olympic national park located,['base.usnationalparks.us_national_park.state'],m.081yw|m.081yw|m.0mmqb
1558,m.030q7,when does the world cup occur,['time.recurring_event.current_frequency'],m.02sjt6q
1559,m.05tfm,what years the steelers won the super bowl,['sports.sports_team.championships'],m.0_gt_jy|m.0_gt_lv|m.0_gt_my|m.032tn6|m.04n7r5|m.076p2|m.076pf|m.076qg|m.076qt|m.0hzps_h
1560,m.07_m2,what art movement was vincent van gogh apart of,['visual_art.visual_artist.associated_periods_or_movements'],m.015xrq
1561,m.0295r,where does danish language come from,['language.human_language.language_family'],m.0140kd|m.03489|m.03v09
1562,m.01xrc5,what countries are in the baltic region,['location.location.contains'],m.021hqs|m.0247nt|m.0pyvq
1563,m.07_m9_,what nation did hitler lead,['government.politician.government_positions_held|government.government_position_held.jurisdiction_of_office'],m.059z0
1564,m.03jn4,what time is in london heathrow,['location.location.time_zones'],m.03bdv
1565,m.0sd7,what continent does the amazon river flow through,['location.location.containedby'],m.06n3y
1566,m.0154j,what is a city in belgium,['location.country.capital'],m.0177z
1567,m.09g8nbm,who played elle greenaway,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.09x9q2
1568,m.06dlh,what did captain scott die of,['people.deceased_person.cause_of_death'],m.01flyj
1569,m.02jq1,what city did elvis presley grew up in,['people.person.place_of_birth'],m.0wqwj
1570,m.0164b,what continent is belize located in,['base.locations.countries.continent'],m.059g4
1571,m.082xp,what party was winston churchill in politics,['government.politician.party|government.political_party_tenure.party'],m.01fml|m.07wpm
1572,m.0839s,what 4 teams did wayne gretzky play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0jnmj
1573,m.01lsst,who was philip randolph,['people.person.profession'],m.04hx60|m.05vd69b
1574,m.07l6ny,where are brembo brakes from,['organization.organization.headquarters|location.mailing_address.citytown'],m.0gj9zx|m.01jp4s
1575,m.071vr,what to see and do in san diego california,['travel.travel_destination.tourist_attractions'],m.01094zpg|m.01v05h|m.02400r|m.028bh_9|m.02pt3vb|m.033zn0|m.03yncwm|m.04c6gj|m.04rfpv|m.06qlyn|m.096pq|m.09f7hq|m.0c8cjw|m.0fnfb4|m.0g4y9s|m.0g72c|m.0gyhsd
1576,m.0_w5_,what is the zip code for clarksville tn,['location.citytown.postal_codes'],m.020w_kz|m.03dxjrj|m.03dxjry|m.07nr01f|m.07nr01n
1577,m.0d04z6,who is the president of cuba in 2009,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.01gcjq
1578,m.080_x_,who does avril lavigne play in over the hedge,['film.actor.film|film.performance.character'],m.0cg926d|m.0cg926d
1579,m.01wdl3,where is the university of alabama,['location.location.containedby'],m.09c7w0|m.0gyh|m.0qc7l|m.0qc7l|m.0gyh
1580,m.0jgx,where is the country of armenia,['base.locations.countries.continent'],m.02j9z
1581,m.07r1h,who tom cruise been married to,['people.person.spouse_s|people.marriage.spouse'],m.020trj|m.05dbf|m.0bbf1f
1582,m.0357_,which country is gaza city located,['location.administrative_division.country'],m.01k0p4
1583,m.026776,who is president of pakistan 2012,['government.government_office_or_title.office_holders|government.government_position_held.office_holder'],m.03xhf_
1584,m.043rm,what country did james watt come from,['people.person.nationality'],m.014tss|m.06q1r
1585,m.04n32,what instrument did louis armstrong like to play,['music.group_member.instruments_played'],m.020w2|m.07gql
1586,m.0d05w3,what types of government does china have,['location.country.form_of_government'],m.01fkst|m.025tbxf|m.0py4y
1587,m.0178g,where is the boeing company,['organization.organization.headquarters|location.mailing_address.citytown'],m.01_d4
1588,m.017nt,what does bill gates own,['architecture.architectural_structure_owner.structures_owned|architecture.ownership.structure'],m.09q11d
1589,m.07t31,what are the two houses in congress,['government.governmental_body.component_bodies'],m.07t58|m.0b3wk
1590,m.0d060g,what is the major language spoken in canada,['location.country.official_language'],m.02h40lc|m.064_8sq
1591,m.06x0s_,what did camille grammer do for a living,['people.person.profession'],m.01d_h8|m.02h6p92|m.02hrh1q|m.0d1pc|m.0dxtg|m.0dypbr
1592,m.03_r3,what jamaican language called,['location.country.languages_spoken'],m.01428y|m.04ygk0|m.01428y
1593,m.0f1bg,what planet was luke skywalker raised on,['fictional_universe.fictional_character.places_lived'],m.0kcq0
1594,m.01t807,who did georgia o'keeffe inspired,['influence.influence_node.influenced'],m.06hzym
1595,m.07ynx2,who does brandon jacobs play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.05gg4
1596,m.0345h,what is the government structure of germany,['location.country.form_of_government'],m.0c9rw5|m.0drnm|m.0glnsx|m.0j729
1597,m.027rn,who is the leader of the dominican republic 2011,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.02_vvc
1598,m.02mjmr,who does obama look up to,['influence.influence_node.influenced_by'],m.018q7p|m.01d1nj|m.04ct6p
1599,m.083p7,where did william mckinley go to high school,['people.person.education|education.education.institution'],m.026_89d
1600,m.05psqzd,who played heath barkley,['film.film_character.portrayed_in_films|film.performance.actor'],m.02vz7q
1601,m.01ct6,what year did baltimore ravens win the superbowl,['sports.sports_team.championships'],m.0642vqv|m.076yq
1602,m.06mkj,what is the name of the money used in spain,['location.country.currency_used'],m.02l6h
1603,m.02ljb,what did edward jenner do for a living,['people.person.profession'],m.05t4q|m.06q2q
1604,m.026sgt0,when did shawn johnson won the gold medal,['olympics.olympic_athlete.medals_won|olympics.olympic_medal_honor.olympics'],m.0kbws
1605,m.0168dy,what did brittany murphy died of,['people.deceased_person.cause_of_death'],m.02q7n0v|m.0dq9p|m.0lcdk
1606,m.05b7q,what type of political system does north korea have,['location.country.form_of_government'],m.01gt0n|m.025tbxf|m.0py4y
1607,m.0gy9xkk,who will play clary in city of bones,['film.film.starring|film.performance.actor'],m.03hh6bw
1608,m.015bvl,what books did frances hodgson burnett wrote,['book.author.book_editions_published'],m.04t_11d|m.04t_12f|m.04t_12x|m.04t_136|m.04t_13p|m.04t_144|m.04t_14g|m.04t_14s|m.04t_157|m.04t_15q|m.04t_165|m.04t_16n|m.04t_16z|m.04t_17y|m.04t_18d|m.04t_18q|m.04t_19q|m.04t_1fd|m.04t_1h2|m.04t_37k|m.04t_380|m.04t_38f|m.04t_38q|m.04t_395|m.04t_39f|m.04t_39q|m.04t_3b5|m.04t_3bn|m.04t_3c3|m.04t_3cf|m.04t_3cz|m.04t_3d6|m.04t_3dh|m.04t_3dr|m.04t_3hd|m.04t_3hp|m.04t_551|m.04t_55b|m.04t_55r|m.04t_56_|m.04t_566|m.04t_56q|m.04t_577|m.04t_57h|m.04t_57z|m.04t_586|m.04t_58g|m.04t_59c|m.04t_59n|m.04t_5bl|m.04t_5cr|m.04t_5d0|m.04t_726|m.04t_72h|m.04t_72s|m.04t_731|m.04t_73b|m.04t_74k|m.04t_75k|m.04t_768|m.04t_76j|m.04t_777|m.04t_77s|m.04t_781|m.04t_78k|m.04t_78v|m.04t_79p|m.04t_7bc|m.04t_7bm|m.04t_7c3|m.04t_8t3|m.04t_8tp|m.04t_8ty|m.04t_8v_|m.04t_8v6|m.04t_8vr|m.04t_8w8|m.04t_8wv|m.04t_8x2|m.04t_8xc|m.04t_8xm|m.04t_8xw|m.04t_8y3|m.04t_8yc|m.04t_c5t|m.04t_c61|m.04t_c6b|m.04t_c6l|m.04t_c7b|m.04t_c7m|m.04t_c7x|m.04t_c8_|m.04t_c85|m.04t_c8g|m.04t_c8r|m.04t_c9v|m.04t_cc9|m.04t_f2t|m.04t_f32|m.04t_f3x|m.04t_f44|m.04t_f4f|m.04t_f4q|m.04t_f4z|m.04t_f57|m.04t_f5j|m.04t_f67|m.04t_f6h|m.04t_f7_|m.04t_f77|m.04t_f7h|m.04t_ggf|m.04t_ggq|m.04t_ggz|m.04t_ghh|m.04t_ghs|m.04t_gj1|m.04t_gjb|m.04t_gjl|m.04t_gk_|m.04t_gk4|m.04t_gkf|m.04t_gkq|m.04t_gl7|m.04t_glj|m.04t_gls|m.04t_gm0|m.04t_gm8|m.04t_klv|m.04t_km2|m.04t_kmc|m.04t_kmm|m.04t_kmw|m.04t_kn_|m.04t_kn4|m.04t_knf|m.04t_knq|m.04t_kq6|m.04t_kqh|m.04t_lnl|m.04t_lpw|m.04t_n65|m.04t_n6n|m.04t_n73|m.04t_n7l|m.04t_qb7|m.04t_qc1|m.04t_qd_|m.04t_qd5|m.04t_qdg|m.04t_qfv|m.04t_qg3|m.04t_qgd|m.04t_qgp|m.04t_qgy|m.04t_spr|m.04t_sq6|m.04t_sqg|m.04t_sqq|m.04t_sr5|m.04t_srf|m.04t_srp|m.04t_srz|m.04t_ss_|m.04t_ss6|m.04t_ssg|m.04t_ssq|m.04t_st7|m.04t_stj|m.04t_sts|m.04t_sv9|m.04t_v8d|m.04t_vb3|m.04t_vbd|m.04t_vcm|m.04t_vcw|m.04t_vfn|m.04t_vp4|m.04t_vpp|m.04t_vq_|m.04t_vq6|m.04t_vqh|m.04t_vqr|m.04t_vr8|m.04t_vrt|m.04t_vs2|m.04t_vsb|m.04t_vsl|m.04t_vsw|m.04t_vt4|m.04t_vvj|m.04t_vw2|m.04t_yhq|m.04t_yjs|m.04t_yk9|m.04t_ykk|m.04t_yl3|m.04t_yld|m.04t_ylp|m.04t_yly|m.04t_ym5|m.04t_ymf|m.04t_ymq|m.04t_ymz|m.04t_yn_|m.04t_yn6|m.04t_yng|m.04t_ynq|m.04t_yp8|m.04t_ypk|m.04t_zqf|m.04t_zry
1609,m.02lt8,what year did edgar allan poe go to college,['people.person.education|education.education.institution'],m.07x4c|m.0g8rj
1610,m.0yyzd,where is amsterdam ohio,['location.hud_county_place.county'],m.0n25q|m.02832yb|m.05kkh|m.0n25q
1611,m.03v0t,who are the two current senators of illinois,['government.political_district.representatives|government.government_position_held.office_holder'],m.01xcd1|m.0256rr
1612,m.01d6g,when did the orioles win the pennant,['sports.sports_team.championships'],m.046_p6|m.04jg7y|m.04td_d
1613,m.0c4_9m,who did stephenie meyer play in twilight,['film.actor.film|film.performance.character'],m.0hq8yww
1614,m.0b90_r,what 3 countries does mexico border,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.0164b|m.0345_|m.09c7w0
1615,m.014j17,who played giles on buffy the vampire slayer,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.014y6
1616,m.07fbnf,what teams are in the american league west,['sports.sports_league.teams|sports.sports_league_participation.team'],m.04wmvz|m.05kmnv1|m.05kmp0g|m.05m_8|m.06wpc|m.07l8x|m.0fq2vj2
1617,m.09482,what books did robert burns wrote,['book.author.works_written'],m.027lmtz|m.027lnn3|m.02p8h3t|m.02qt8h|m.02w0mx1|m.066_9kw|m.0669zx|m.067_bxw|m.0677wg6|m.0678xhf|m.067b07j|m.067f5fh|m.067fpvf|m.067h7v0|m.067qh4d|m.067qvj5|m.068_8zd|m.06822w2|m.068b6vf|m.068l879|m.069_n63|m.0695571|m.0696zbz|m.069nqbq|m.069y65k|m.06b124w|m.06b8lrh|m.06bmsf2|m.06c_nl7|m.06c4s0z|m.06c90nz|m.06c90p6|m.06ctfkv|m.06cv4qh|m.06dky53|m.06dsmy0|m.06f181s|m.06f5fk7|m.06f5x4r|m.06f6ng9|m.06fb3tc|m.06fgfpj|m.06fnpdg|m.06ft0jd|m.06fvg4v|m.06fw7t0|m.06fzzbs|m.06g0_s_|m.06g525x|m.06g5rhg|m.06g62qf|m.06gkj5f|m.06h09xn|m.06h3ts3|m.06h3ttc|m.06h6c5k|m.06hhvth|m.06hlcyx|m.06hn3z_|m.06hn6fd|m.06hppk1|m.06hpr43|m.06hv2pk|m.06jbdfs|m.06jc109|m.06jfd8t|m.06jgxj_|m.06jld_b|m.06jvgj3|m.06jy9mh|m.06k1xyd|m.06kcll_|m.06kcp3s|m.06krdf2|m.06kx2xq|m.06l_wm2|m.06l3d1v|m.06lcg50|m.06m0z4|m.06mjn2m|m.06mlc5k|m.06mq4ff|m.06mq4hn|m.06n_h05|m.06n3sc6|m.06n3t08|m.06nd6yp|m.06ngbc2|m.06npbgn|m.06nt4qr|m.06nxy20|m.06p1fvw|m.06p9fy2|m.06pyz7x|m.06qlv9c|m.06qn7ny|m.06qp04m|m.06qq42c|m.06qqmzw|m.06qsrwv|m.06qtwf3|m.06r856p|m.06r8cl6|m.06rsh3d|m.06rwgsk|m.06ryqtm|m.06s2vfr|m.06sdgr8|m.06smswh|m.06sshd5|m.06thbrs|m.06tsn05|m.06tvl9k|m.06txwyr|m.06vmx77|m.0776cx|m.09xx2c|m.0b1x44|m.0bbgtt_|m.0bbh361|m.0bbhjd4|m.0bbhqhv|m.0bnf0m|m.0bqr0mt|m.0bqz4_4|m.0bqz4_c|m.0c1tbv_|m.0c1tbvt|m.0c1tbvx|m.0c1tbw2|m.0c1tbw5|m.0c1tbw8|m.0c1tbwg|m.0c1tbwk|m.0c1tbwr|m.0c1tbwv|m.0c1tbwy|m.0c1tbx0|m.0c1tbx3|m.0c1tbx6|m.0c1tbx9|m.0c1tbxd|m.0c1tbxh|m.0c1tbxl|m.0c1tbxp|m.0c1tbxs|m.0cwm6k|m.0fq1fcz
1618,m.03_y2f,where does drogba play now,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.023fb
1619,m.01_bp,who owns chrysler corporation 2012,['organization.organization.parent|organization.organization_relationship.parent'],m.0_gywj9|m.01bqks|m.02wz7x|m.03c40gm|m.0c7mv
1620,m.0271_s,what are the name of mitt romney sons,['people.person.children'],m.02kvkl_|m.02kvkmn|m.02kvkmy|m.03m5dk9|m.03qj3pv
1621,m.01vyv9,what was the cause of death of larry hagman,['people.deceased_person.cause_of_death'],m.0369n2|m.04psf|m.0qcr0
1622,m.03s9v,what school did sir isaac newton go to,['people.person.education|education.education.institution'],m.07tk7|m.0h37f2
1623,m.0blbd,in which country is mount everest found,['location.location.partially_containedby'],m.016zwt|m.0d05w3
1624,m.0345h,what form of government does germany use,['location.country.form_of_government'],m.0c9rw5|m.0drnm|m.0glnsx|m.0j729
1625,m.03gyl,what language do haitian speak,['location.country.languages_spoken'],m.02dhwl|m.064_8sq|m.02dhwl|m.064_8sq
1626,m.03cly4v,who is nick grimshaw,['people.person.profession'],m.015cjr|m.02dsz
1627,m.033_w4,what did florence sabin do,['people.person.profession'],m.05t4q
1628,m.01xlqd,who played betty rizzo in grease,['film.film.starring|film.performance.actor'],m.02mqc4
1629,m.06qv_,who played wesley crusher on star trek the next generation,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.0l_dv
1630,m.01_nh0,where did audie murphy grow up,['people.person.place_of_birth'],m.04bwqsw
1631,m.0h6cb,what school does bart simpson go to,['fictional_universe.fictional_character.education'],m.0h2m5t_|m.0h8cb
1632,m.0ctxdn,where is mark sanchez now,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.05tg3
1633,m.0dl4g,where was the battle of verdun ww1,['time.event.locations'],m.0ny95
1634,m.0v7_g,where is okemos michigan,['location.hud_county_place.county'],m.0njlp|m.04rrx|m.09c7w0|m.0njlp|m.0v7_3
1635,m.01y603,where did caroline kennedy go to school,['people.person.education|education.education.institution'],m.01k7xz|m.01mpwj|m.01n951|m.03ksy|m.0bf5w5
1636,m.09c7w0,what type of government is the us government,['location.country.form_of_government'],m.01d9r3|m.0c9rw5|m.0j729
1637,m.01ct6,who is the ravens coach,['american_football.football_team.current_head_coach'],m.0c2fvr
1638,m.042n7s,what college did ron jaworski go to,['people.person.education|education.education.institution'],m.02m4sc
1639,m.0x2p,what years did the atlanta braves win the world series,['sports.sports_team.championships'],m.04j712
1640,m.0flw86,what are the basic beliefs of islam religion,['religion.religion.beliefs'],m.019vqj|m.01bbmp|m.024b22|m.025w817|m.02wvcg4|m.04xy3|m.0698fs|m.06rvp0|m.074hw|m.07bfrc|m.07r6vw|m.09kb_2|m.0hr6vbp
1641,m.02k54,what is modern egyptian language,['location.country.official_language'],m.025rvv7
1642,m.016yzz,where does sam shepard live,['people.person.places_lived|people.place_lived.location'],m.02xry|m.034tl|m.035r6b|m.06mz5|m.07srw|m.0cc56|m.0r0_5|m.0r06n|m.0wmtg
1643,m.0k9wp,in what state was the air force academy established,['organization.organization.headquarters|location.mailing_address.state_province_region'],m.01n4w
1644,m.03647x,what are the names of harry potter books in order,['book.book_character.appears_in_book'],m.014jst|m.015pln|m.01lr1g|m.01m5g_|m.03bkkv|m.06_rf9|m.0c_vk
1645,m.03rjj,what currency should i bring to italy,['location.country.currency_used'],m.02l6h
1646,m.01d6g,what years did the orioles play in the world series,['sports.sports_team.championships'],m.046_p6|m.04jg7y|m.04td_d
1647,m.06cmp,what does the roman empire consist of,['location.location.contains'],g.120phpf9|m.0_g_73y|m.05h20fb
1648,m.05cfvw,what did fred goodwin do,['people.person.profession'],m.012t_z|m.04p2dz
1649,m.03cq6v,what school did burne hogarth establish,['organization.organization_founder.organizations_founded'],m.01hb1t
1650,m.04wqr,who is marilyn monroe and why is she famous,['people.person.profession'],m.01d_h8|m.02hrh1q|m.05mwvd|m.09l65|m.0d1pc
1651,m.0rjvf,where is port charlotte florida located,['location.hud_county_place.county'],m.0jgk_|m.02xry|m.09c7w0|m.0jgk_
1652,m.01n7q,what time zone is it in california,['location.location.time_zones'],m.02lcqs
1653,m.01z4fn,who helped form the american federation of labor,['organization.organization.founders'],m.01w91b
1654,m.0kftt,who did julie andrews play in shrek,['film.actor.film|film.performance.character'],m.047tlfw|m.047tlfw|m.047tlfw
1655,m.0bwjj,when did the celtics win championship,['sports.sports_team.championships'],m.0403mzq|m.08dxfs|m.08x9wd|m.08x9xt|m.08x9zw|m.09l8zn|m.0cs1gb|m.0cs222|m.0cs24h|m.0cs266|m.0cs27l|m.0cs29b|m.0cs2f4|m.0cs2fv|m.0cs2h6|m.0cs2hx|m.0cs2n0
1656,m.0d060g,what does canada export and import the most,['location.statistical_region.major_exports|location.imports_exports_by_industry.industry'],m.015smg|m.025rs2z|m.025tnyc|m.03q9v41|m.03q9vwm|m.03q9vxr|m.03q9vy9|m.03q9vzm|m.03q9w46|m.03q9xw9|m.03q9y3r|m.03q9y6g|m.03qtd8p|m.03qtfwz
1657,m.0411sjw,what episode does eric northman come in,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.seasons'],m.04nvqjm|m.07kd5nl|m.0bh71z0|m.0gfwvpj|m.0j6tx9m|m.0k6j758|m.0wj_9lr
1658,m.0199mw,what was elijah mccoy famous for,['people.person.profession'],m.03sbb|m.09j9h
1659,m.045bz,who did john paul jones fight for,['military.military_person.service|military.military_service.military_force'],m.021xtf|m.0268nz|m.065y1n
1660,m.0cvyp,where does hudson river start,['geography.river.origin'],m.07663d
1661,m.03gr7w,where was brad paisley born and raised,['people.person.place_of_birth'],m.010xmb
1662,m.0fsb8,what is charlotte north carolina known for,['travel.travel_destination.tourist_attractions'],m.02vnhrq|m.03d5y3g|m.03g_2kj|m.04td00|m.05g_v0l|m.0635_7|m.09k6h_2|m.0c2m75|m.0cq5c0|m.0fxjdx|m.0g0c28|m.0gjc5k
1663,m.0rdgt,where is glastonbury connecticut,['location.location.containedby'],m.01x73|m.09c7w0|m.0m2gk
1664,m.0nqph,what is arlington texas zip code,['location.citytown.postal_codes'],m.020yf_6|m.020yfv7|m.020yfw2|m.020yfx2|m.020yg3f|m.020yg4f|m.020yg58|m.020yg73|m.020ygcw|m.020yhh7|m.021df5f|m.03dxw18|m.03dxw1p|m.07nqdlq|m.07nqdm4|m.07nqdmt|m.07nqdn0|m.07nqdn7|m.07nqdng|m.07nqdnp|m.09sh2kb
1665,m.0cqt41,what years did yankees win championships,['sports.sports_team.championships'],m.04j70r|m.04j7sr|m.04j7wv|m.04jfmn|m.04jfsz|m.04n39cg|m.04p1w0|m.04td_r|m.04tf_g|m.04tfmb|m.04tfmp|m.04tfpd|m.04tfpr|m.04tfqf|m.04tfr4|m.04tfrh|m.04tfs5|m.04tfv7|m.04tfwz|m.04tfxn|m.04tg0h|m.04tg15|m.04tg1w|m.04tg3l|m.04tg4_|m.04tg4n|m.0d1bbv
1666,m.019nnl,what characters does seth macfarlane play in family guy,['tv.tv_program.regular_cast|tv.regular_tv_appearance.character'],g.120yrd_6|g.12245v14|m.01sxhc|m.026q0lb|m.028b1c8|m.02m29p|m.02nw87f|m.03n6jv|m.03pcvr|m.05sr4_d|m.05sr4_s|m.05sr4x5|m.05sr4zg|m.05srj40|m.05ss3k_
1667,m.0f2v0,what airport fly into miami,['travel.travel_destination.how_to_get_here|travel.transportation.transport_terminus'],m.01nlly|m.0yt9j
1668,m.01yqrk,what year did steve nash play for the mavericks,['basketball.basketball_player.player_statistics|basketball.basketball_player_stats.season'],m.07_x8s|m.0802lk|m.08030z|m.080b2d|m.080bhx|m.080kw1
1669,m.0jzc,where is arabic used,['language.human_language.countries_spoken_in'],m.0161c|m.01z215|m.01z88t|m.01znc_|m.027jk|m.02k54|m.02z62v1|m.03__y|m.035hr8|m.03shp|m.03spz|m.047yc|m.04gqr|m.04hqz|m.04vjh|m.04wgh|m.05l8y|m.0697s|m.06tw8|m.06vbd|m.07dzf|m.07fj_|m.0d05q4|m.0d060g|m.0h3y|m.0h44w|m.0hzlz|m.0j1z8|m.01n6c|m.01z215|m.02khs|m.07fj_
1670,m.01lwx,what book did charles darwin write on evolution,['book.author.works_written'],m.01qq45|m.02l2z6|m.04t39p_|m.04t39r_|m.04t39rr|m.05nhwt|m.05pskf|m.07kbf6f|m.0c1t1n1|m.0d_3d1b
